time_lag,noise,N,seq_length,context_noise,run,implicit_theta,pcc_theta,mse_theta,mae_theta,pcc_prob,mse_prob,mae_prob,auroc,auprc,brier,f1
4,0,200,15,0,0,FALSE,0.913831385,0.646499179,0.677961583,0.730648429,0.035573343,0.146653273,0.704360884,0.706277792,0.216318083,0.63362069
4,0,200,15,0,0,TRUE,-0.048631588,1.609494917,1.084319263,0.45079957,0.059065616,0.197314648,0.606783746,0.585248967,0.242961637,0.591111111
4,0,200,15,0,1,FALSE,0.782057686,0.646477584,0.655574808,0.691765341,0.03776596,0.150536715,0.724369211,0.768024669,0.208782072,0.656964657
4,0,200,15,0,1,TRUE,0.205365482,1.628558388,1.091094055,0.374076685,0.076943163,0.217044237,0.560272859,0.586617335,0.266327414,0.549019608
4,0,200,15,0,2,FALSE,0.760014112,0.661251353,0.654407171,0.636311462,0.04274897,0.159395667,0.665993985,0.623262861,0.235873088,0.612975391
4,0,200,15,0,2,TRUE,0.068271844,2.159991165,1.224481374,0.458367186,0.072849167,0.211544371,0.632689868,0.6862765,0.249353716,0.575342466
4,0,200,15,0.01,0,FALSE,0.833856517,0.601007697,0.625857539,0.689134201,0.037351975,0.148655986,0.714802944,0.724383477,0.216017641,0.696016771
4,0,200,15,0.01,0,TRUE,0.047487868,1.993179766,1.182365981,0.374229007,0.066337113,0.204252123,0.590568729,0.608330288,0.248657325,0.602910603
4,0,200,15,0.01,1,FALSE,0.866809129,0.544564,0.588593381,0.730539302,0.029018201,0.13363736,0.673963384,0.691052463,0.227905244,0.638297872
4,0,200,15,0.01,1,TRUE,0.134376886,1.590231974,1.085324743,0.508740214,0.053675452,0.191511471,0.617373953,0.611000711,0.239748864,0.52987013
4,0,200,15,0.01,2,FALSE,0.898128001,0.530278508,0.588192558,0.714977744,0.037946815,0.153003865,0.717270553,0.725483269,0.214076858,0.66098081
4,0,200,15,0.01,2,TRUE,0.313637828,1.48617729,1.005880131,0.448950716,0.066039757,0.199831619,0.582806324,0.581727332,0.257124461,0.482939633
4,0,200,15,0.1,0,FALSE,0.792844357,0.750775951,0.715430957,0.65165224,0.042332678,0.157928462,0.672645386,0.696944976,0.229427027,0.602678571
4,0,200,15,0.1,0,TRUE,0.259877078,1.82186911,1.096193376,0.393630645,0.079096087,0.231307429,0.580396673,0.531834226,0.261580748,0.516431925
4,0,200,15,0.1,1,FALSE,0.768863316,0.700010072,0.691134372,0.682669719,0.039411545,0.151864203,0.651769973,0.65032817,0.235772136,0.581896552
4,0,200,15,0.1,1,TRUE,0.07076166,1.93179467,1.138365464,0.295041618,0.06372285,0.208675204,0.503694119,0.503682181,0.261516249,0.536480687
4,0,200,15,0.1,2,FALSE,0.713663189,0.842558852,0.719762291,0.641498887,0.050620525,0.169929735,0.703508633,0.707709504,0.221812976,0.666666667
4,0,200,15,0.1,2,TRUE,0.240238787,1.413694866,1.012639313,0.567850854,0.057797613,0.187187202,0.684503704,0.661915793,0.230209253,0.689013035
4,0,200,15,1,0,FALSE,0.650460958,1.854530909,1.089409116,0.530561655,0.061235271,0.197314733,0.657302039,0.662059,0.231543458,0.589327146
4,0,200,15,1,0,TRUE,0.138741737,2.644484527,1.297873904,0.40829155,0.067378739,0.207298808,0.572063505,0.508165515,0.249116839,0.497584541
4,0,200,15,1,1,FALSE,0.585901265,1.719329708,1.075010069,0.523354712,0.062779998,0.193248148,0.669539034,0.641130885,0.226464688,0.573459716
4,0,200,15,1,1,TRUE,0.00697215,2.867799891,1.397212557,0.347485157,0.071860295,0.222178022,0.558466466,0.547264644,0.250017599,0.59043659
4,0,200,15,1,2,FALSE,0.553003425,1.951179758,1.109005856,0.372667379,0.082802267,0.219046693,0.627651155,0.651916155,0.24521863,0.607758621
4,0,200,15,1,2,TRUE,0.029246414,3.120466909,1.403203681,0.282736935,0.077314231,0.222888656,0.543828247,0.55651191,0.265188221,0.519650655
